"","circuitId","circuitRef","name","location","country","lat","lng","alt","dist.km.","dist.mile.","Turns","Date.Range","Type","url","raceId","Avg_Speed","Avg_Speed_MPH","Avg_Throttle"
"1",1,"albert_park","Albert Park Grand Prix Circuit","Melbourne","Australia",-37.8497,144.968,"10",5.303,3.296,14,"1996- 2020","Race","http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit",989,82.005,144.693616242912,68.2798536988564
"2",3,"bahrain","Bahrain International Circuit","Sakhir","Bahrain",26.0325,50.5106,"7",5.412,3.363,15,"2005-present","Race","http://en.wikipedia.org/wiki/Bahrain_International_Circuit",990,80.125,151.098907956318,62.8061707676532
"3",4,"catalunya","Circuit de Barcelona-Catalunya","Montmeló","Spain",41.57,2.26111,"109",4.655,2.892,16,"2007-present","Race","http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya",993,76.84,135.491931285789,62.0311556694946
"4",6,"monaco","Circuit de Monaco","Monte-Carlo","Monaco",43.7347,7.42056,"7",3.337,2.074,19,"2015-present","Street","http://en.wikipedia.org/wiki/Circuit_de_Monaco",1056,71.14,104.953612594883,58.6513572224912
"5",7,"villeneuve","Circuit Gilles Villeneuve","Montreal","Canada",45.5,-73.5228,"13",4.361,2.71,14,"2002-present","Race","http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve",995,71.275,136.878288319888,70.2005817943399
"6",9,"silverstone","Silverstone Circuit","Silverstone","UK",52.0786,-1.01694,"153",5.891,3.661,18,"2011-present","Race","http://en.wikipedia.org/wiki/Silverstone_Circuit",998,86.19,152.913331012879,65.370437179242
"7",10,"hockenheimring","Hockenheimring","Hockenheim","Germany",49.3278,8.56583,"103",4.574,2.842,17,"2002-present","Race","http://en.wikipedia.org/wiki/Hockenheimring",999,72.275,141.559322033898,66.7249430691729
"8",11,"hungaroring","Hungaroring","Budapest","Hungary",47.5789,19.2486,"264",4.381,2.722,14,"2003-present","Race","http://en.wikipedia.org/wiki/Hungaroring",1000,75.3866666666667,129.98585072515,61.6897738107662
"9",13,"spa","Circuit de Spa-Francorchamps","Spa","Belgium",50.4372,5.97139,"401",7.004,4.352,20,"2007-present","Race","http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps",1001,102.985,152.130892848473,62.5334350592101
"10",14,"monza","Autodromo Nazionale di Monza","Monza","Italy",45.6156,9.28111,"162",5.793,3.6,11,"2000-present","Race","http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza",1002,79.9033333333333,162.195986817404,62.9282853313566
"11",15,"marina_bay","Marina Bay Street Circuit","Marina Bay","Singapore",1.2914,103.864,"18",5.063,3.146,23,"2008-present","Street","http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit",1003,97.255,116.452624543725,55.5402333915621
"12",17,"shanghai","Shanghai International Circuit","Shanghai","China",31.3389,121.22,"5",5.451,3.388,16,"2004-present","Race","http://en.wikipedia.org/wiki/Shanghai_International_Circuit",1012,92.2,132.286334056399,62.8693331599784
"13",18,"interlagos","Autódromo José Carlos Pace","São Paulo","Brazil",-23.7036,-46.6997,"785",4.309,2.677,15,"1999-present","Race","http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace",1008,68.415,140.863845647884,64.6931251591116
"14",20,"nurburgring","Nürburgring","Nürburg","Germany",50.3356,6.9475,"578",5.148,3.199,15,"2002-present","Race","http://en.wikipedia.org/wiki/N%C3%BCrburgring",1041,85.95,133.989528795812,61.1752144794376
"15",21,"imola","Autodromo Enzo e Dino Ferrari","Imola","Italy",44.3439,11.7167,"37",4.909,3.05,19,"2008-present","Race","http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari",1043,74.565,147.254073627037,66.2021060731815
"16",22,"suzuka","Suzuka Circuit","Suzuka","Japan",34.8431,136.541,"45",5.807,3.609,18,"2003-present","Race","http://en.wikipedia.org/wiki/Suzuka_Circuit",1005,87.95,147.724843661171,62.4624203956865
"17",24,"yas_marina","Yas Marina Circuit","Abu Dhabi","UAE",24.4672,54.6031,"3",5.554,3.451,16,"2009-2021","Race","http://en.wikipedia.org/wiki/Yas_Marina_Circuit",1009,92.5,134.309189189189,58.9162423393882
"18",32,"rodriguez","Autódromo Hermanos Rodríguez","Mexico City","Mexico",19.4042,-99.0907,"2227",4.304,2.674,NA,"2015-present","","http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez",1007,76.085,126.521653413945,62.7098153458886
"19",34,"ricard","Circuit Paul Ricard","Le Castellet","France",43.2506,5.79167,"432",5.842,3.63,15,"2005-present","Race","http://en.wikipedia.org/wiki/Paul_Ricard_Circuit",996,90.095,145.046894944226,60.3944703748387
"20",39,"zandvoort","Circuit Park Zandvoort","Zandvoort","Netherlands",52.3888,4.54092,"6",4.259,2.646,14,"2020-present","Race","http://en.wikipedia.org/wiki/Circuit_Zandvoort",1064,69.48,137.098445595855,70.424488868696
"21",69,"americas","Circuit of the Americas","Austin","USA",30.1328,-97.6411,"161",5.514,3.426,20,"2012-present","Race","http://en.wikipedia.org/wiki/Circuit_of_the_Americas",1006,93.02,132.590840679424,61.5728677525786
"22",70,"red_bull_ring","Red Bull Ring","Spielberg","Austria",47.2197,14.7647,"678",4.318,2.683,10,"2016-present","Race","http://en.wikipedia.org/wiki/Red_Bull_Ring",997,63.9525,151.03084320394,64.7255821285041
"23",71,"sochi","Sochi Autodrom","Sochi","Russia",43.4057,39.9578,"2",5.848,3.634,18,"2014-present","Race","http://en.wikipedia.org/wiki/Sochi_Autodrom",1004,92.6466666666667,141.20745484637,62.0737908674651
"24",73,"BAK","Baku City Circuit","Baku","Azerbaijan",40.3725,49.8533,"-7",6.003,3.73,20,"2017-present","Street","http://en.wikipedia.org/wiki/Baku_City_Circuit",992,101.52,132.269503546099,69.8522688951896
"25",75,"portimao","Autódromo Internacional do Algarve","Portimao","Portugal",37.227,-8.6267,"108",4.653,2.853,15,"2008-present","Race","http://en.wikipedia.org/wiki/Algarve_International_Circuit",1042,77.875,131.888282504013,62.3082581269293
"26",76,"mugello","Autodromo Internazionale del Mugello","Mugello","Italy",43.9975,11.3719,"255",5.245,3.259,15,"1974-present","Race","http://en.wikipedia.org/wiki/Mugello_Circuit",1039,75.96,154.454976303318,63.1399447949527
"27",77,"jeddah","Jeddah Corniche Circuit","Jeddah","Saudi Arabia",21.6319,39.1044,"15",6.174,3.836,27,"2021-present","Street","http://en.wikipedia.org/wiki/Jeddah_Street_Circuit",1072,88.05,156.838160136286,64.6397434587081
"28",78,"losail","Losail International Circuit","Al Daayen","Qatar",25.49,51.4542,"\N",5.38,3.343,16,"2004-present","Race","http://en.wikipedia.org/wiki/Losail_International_Circuit",1051,81.64,147.413032827046,64.7890559368917
