"constructorId","raceId","driverId","circuitId","resultId","number","grid","position","positionText","positionOrder","time","year","Air.Temp","Track.Temp","Rainfall","Wind.Speed","track_group","driverRef","team_rank","final_position"
131,989,1,1,23783,"44",1,2,"2",2,"+5.036",2018,"24.077477477477483","36.324324324324316","Minimal","3.6918918918918915","Med_Speed","hamilton",4,2
6,989,8,1,23784,"7",2,3,"3",3,"+6.309",2018,"24.077477477477483","36.324324324324316","Minimal","3.6918918918918915","Med_Speed","raikkonen",1,3
6,989,20,1,23782,"5",3,1,"1",1,"1:29:33.283",2018,"24.077477477477483","36.324324324324316","Minimal","3.6918918918918915","Med_Speed","vettel",1,1
10,989,815,1,23792,"11",12,11,"11",11,"+46.817",2018,"24.077477477477483","36.324324324324316","Minimal","3.6918918918918915","Med_Speed","perez",7,7
131,989,822,1,23789,"77",15,8,"8",8,"+34.339",2018,"24.077477477477483","36.324324324324316","Minimal","3.6918918918918915","Med_Speed","bottas",4,5
9,989,830,1,23787,"33",4,6,"6",6,"+28.945",2018,"24.077477477477483","36.324324324324316","Minimal","3.6918918918918915","Med_Speed","max_verstappen",3,4
4,989,832,1,23791,"55",9,10,"10",10,"+45.722",2018,"24.077477477477483","36.324324324324316","Minimal","3.6918918918918915","Med_Speed","sainz",6,6
3,989,840,1,23795,"18",13,14,"14",14,"+1:18.288",2018,"24.077477477477483","36.324324324324316","Minimal","3.6918918918918915","Med_Speed","stroll",8,9
15,989,844,1,23794,"16",18,13,"13",13,"+1:15.759",2018,"24.077477477477483","36.324324324324316","Minimal","3.6918918918918915","Med_Speed","leclerc",9,8
131,990,1,3,23804,"44",9,3,"3",3,"+6.512",2018,"27.982524271844653","32.19805825242719","Dry","0.9582524271844662","Med_Speed","hamilton",2,3
6,990,20,3,23802,"5",1,1,"1",1,"1:32:01.940",2018,"27.982524271844653","32.19805825242719","Dry","0.9582524271844662","Med_Speed","vettel",1,1
10,990,815,3,23817,"11",12,16,"16",16,"\N",2018,"27.982524271844653","32.19805825242719","Dry","0.9582524271844662","Med_Speed","perez",6,8
