circuitId,circuitRef,name,location,country,lat,lng,alt,dist(km),dist.mi,Turns,Sharp Turns,year,Chosen,dist_s_turns,dist_turns,turns_s_mile,turns_mile,Date Range,Type,url
1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,5.303,3.296,16,8,2018,yes,0.412,0.206,2.427184466,4.854368932,1996- 2020,Race,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit
1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,5.303,3.296,16,8,2019,yes,0.412,0.206,2.427184466,4.854368932,1996- 2020,Race,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit
3,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,7,5.412,3.363,14,7,2018,yes,0.480428571,0.240214286,2.081474874,4.162949747,2005-present,Race,http://en.wikipedia.org/wiki/Bahrain_International_Circuit
3,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,7,5.412,3.363,14,7,2019,yes,0.480428571,0.240214286,2.081474874,4.162949747,2005-present,Race,http://en.wikipedia.org/wiki/Bahrain_International_Circuit
103,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,7,,2.202,9,3,2020,yes,0.734,0.244666667,1.36239782,4.08719346,2005-present,Race,http://en.wikipedia.org/wiki/Bahrain_International_Circuit
3,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,7,5.412,3.363,14,7,2020,yes,0.480428571,0.240214286,2.081474874,4.162949747,2005-present,Race,http://en.wikipedia.org/wiki/Bahrain_International_Circuit
3,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,7,5.412,3.363,14,7,2021,yes,0.480428571,0.240214286,2.081474874,4.162949747,2005-present,Race,http://en.wikipedia.org/wiki/Bahrain_International_Circuit
4,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,109,4.655,2.894,14,8,2018,yes,0.36175,0.206714286,2.764340014,4.837595024,2007-present,Race,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
4,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,109,4.655,2.894,14,8,2019,yes,0.36175,0.206714286,2.764340014,4.837595024,2007-present,Race,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
4,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,109,4.655,2.894,14,8,2020,yes,0.36175,0.206714286,2.764340014,4.837595024,2007-present,Race,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
