qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3,Column2,Column3,Column1
9176,1074,844,6,16,1,1:31.471,1:30.932,1:30.558,90558,1,1:30.558
9177,1074,830,9,1,2,1:31.785,1:30.757,1:30.681,90681,1.001358246,1:30.681
9178,1074,832,6,55,3,1:31.567,1:30.787,1:30.687,90687,1.001424501,1:30.687
9179,1074,815,9,11,4,1:32.311,1:31.008,1:30.921,90921,1.004008481,1:30.921
9180,1074,1,131,44,5,1:32.285,1:31.048,1:31.238,91048,1.005410897,1:31.048
9181,1074,822,51,77,6,1:31.919,1:31.717,1:31.560,91560,1.011064732,1:31.560
9182,1074,825,210,20,7,1:31.955,1:31.461,1:31.808,91461,1.00997151,1:31.461
9183,1074,4,214,14,8,1:32.346,1:31.621,1:32.195,91621,1.011738333,1:31.621
9184,1074,847,131,63,9,1:32.269,1:31.252,1:32.216,91252,1.007663597,1:31.252
9185,1074,842,213,10,10,1:32.096,1:31.635,1:32.338,91635,1.01189293,1:31.635
9186,1074,839,214,31,11,1:32.041,1:31.782,,91782,1.0135162,1:31.782
9187,1074,854,210,47,12,1:32.380,1:31.998,,91998,1.015901411,1:31.998
9188,1074,846,1,4,13,1:32.239,1:32.008,,92008,1.016011838,1:32.008
9189,1074,848,3,23,14,1:32.726,1:32.664,,92664,1.023255814,1:32.664
9190,1074,855,51,24,15,1:32.493,1:33.543,,92493,1.021367521,1:32.493
9191,1074,852,213,22,16,1:32.750,,,92750,1.024205482,1:32.750
9192,1074,807,117,27,17,1:32.777,,,92777,1.024503633,1:32.777
9193,1074,817,1,3,18,1:32.945,,,92945,1.026358798,1:32.945
9194,1074,840,117,18,19,1:33.032,,,93032,1.027319508,1:33.032
9195,1074,849,3,6,20,1:33.634,,,93634,1.033967181,1:33.634
9156,1073,830,9,33,1,1:23.322,1:22.800,1:22.109,82109,1,1:22.109
9157,1073,1,131,44,2,1:22.845,1:23.145,1:22.480,82480,1.004518384,1:22.480
9158,1073,846,1,4,3,1:23.553,1:23.256,1:22.931,82931,1.010011083,1:22.931
9159,1073,815,9,11,4,1:23.350,1:23.135,1:22.947,82947,1.010205946,1:22.947
9160,1073,832,6,55,5,1:23.624,1:23.174,1:22.992,82992,1.010753998,1:22.992
9161,1073,822,131,77,6,1:23.117,1:23.246,1:23.036,83036,1.011289871,1:23.036
9162,1073,844,6,16,7,1:23.467,1:23.202,1:23.122,83122,1.012337259,1:23.122
9163,1073,852,213,22,8,1:23.428,1:23.404,1:23.220,83220,1.013530794,1:23.220
9164,1073,839,214,31,9,1:23.764,1:23.420,1:23.389,83389,1.015589034,1:23.389
9165,1073,817,1,3,10,1:23.829,1:23.448,1:23.409,83409,1.015832613,1:23.409
9166,1073,4,214,14,11,1:23.846,1:23.460,,83460,1.016453738,1:23.460
9167,1073,842,213,10,12,1:23.489,1:24.043,,83489,1.016806927,1:23.489
9168,1073,840,117,18,13,1:24.061,1:24.066,,84061,1.023773277,1:24.061
9169,1073,841,51,99,14,1:24.118,1:24.251,,84118,1.024467476,1:24.118
9170,1073,20,117,5,15,1:24.225,1:24.305,,84225,1.025770622,1:24.225
9171,1073,849,3,6,16,1:24.338,,,84338,1.027146841,1:24.338
9172,1073,847,3,63,17,1:24.423,,,84423,1.028182051,1:24.423
9173,1073,8,51,7,18,1:24.779,,,84779,1.032517751,1:24.779
9174,1073,854,210,47,19,1:24.906,,,84906,1.034064475,1:24.906
9175,1073,853,210,9,20,1:25.685,,,85685,1.043551864,1:25.685
9136,1072,1,131,44,1,1:28.466,1:27.712,1:27.511,87511,1,1:27.511
9137,1072,822,131,77,2,1:28.057,1:28.054,1:27.622,87622,1.001268412,1:27.622
9138,1072,830,9,33,3,1:28.285,1:27.953,1:27.653,87653,1.001622653,1:27.653
9139,1072,844,6,16,4,1:28.310,1:28.459,1:28.054,88054,1.006204934,1:28.054
9140,1072,815,9,11,5,1:28.021,1:27.946,1:28.123,87946,1.004970804,1:27.946
9141,1072,842,213,10,6,1:28.401,1:28.314,1:28.125,88125,1.007016261,1:28.125
9142,1072,846,1,4,7,1:28.338,1:28.344,1:28.180,88180,1.007644753,1:28.180
9143,1072,852,213,22,8,1:28.503,1:28.222,1:28.442,88222,1.008124693,1:28.222
9144,1072,839,214,31,9,1:28.752,1:28.574,1:28.647,88574,1.012147044,1:28.574
9145,1072,841,51,99,10,1:28.899,1:28.616,1:28.754,88616,1.012626984,1:28.616
9146,1072,817,1,3,11,1:28.216,1:28.668,,88216,1.00805613,1:28.216
9147,1072,8,51,7,12,1:28.856,1:28.885,,88856,1.015369496,1:28.856
9148,1072,4,214,14,13,1:28.944,1:28.920,,88920,1.016100833,1:28.920
9149,1072,847,3,63,14,1:28.926,1:29.054,,88926,1.016169396,1:28.926
9150,1072,832,6,55,15,1:28.237,1:53.652,,88237,1.0082961,1:28.237
9151,1072,849,3,6,16,1:29.177,,,89177,1.019037607,1:29.177
9152,1072,20,117,5,17,1:29.198,,,89198,1.019277577,1:29.198
9153,1072,840,117,18,18,1:29.368,,,89368,1.021220189,1:29.368
9154,1072,854,210,47,19,1:29.464,,,89464,1.022317194,1:29.464
9155,1072,853,210,9,20,1:30.473,,,90473,1.033847173,1:30.473
9096,1071,1,131,44,1,1:08.733,1:08.068,1:07.934,67934,1,1:07.934
9097,1071,830,9,33,2,1:09.329,1:08.499,1:08.372,68372,1.006447434,1:08.372
9098,1071,822,131,77,3,1:09.040,1:08.426,1:08.469,68426,1.007242323,1:08.426
9099,1071,815,9,11,4,1:09.172,1:08.973,1:08.483,68483,1.008081373,1:08.483
9100,1071,842,213,10,5,1:09.347,1:08.903,1:08.777,68777,1.012409103,1:08.777
9101,1071,832,6,55,6,1:09.046,1:09.031,1:08.826,68826,1.013130391,1:08.826
9102,1071,844,6,16,7,1:09.155,1:08.859,1:08.960,68859,1.013616157,1:08.859
9103,1071,846,1,4,8,1:09.365,1:09.030,1:08.980,68980,1.015397297,1:08.980
9104,1071,817,1,3,9,1:09.374,1:09.093,1:09.039,69039,1.016265787,1:09.039
9105,1071,4,214,14,10,1:09.391,1:09.137,1:09.113,69113,1.01735508,1:09.113
9106,1071,839,214,31,11,1:09.430,1:09.189,,69189,1.018473813,1:09.189
9107,1071,20,117,5,12,1:09.451,1:09.399,,69399,1.021565048,1:09.399
9108,1071,852,213,22,13,1:09.350,1:09.483,,69350,1.02084376,1:09.350
9109,1071,8,51,7,14,1:09.598,1:09.503,,69503,1.023095946,1:09.503
9110,1071,841,51,99,15,1:09.342,1:10.227,,69342,1.020725999,1:09.342
9111,1071,840,117,18,16,1:09.663,,,69663,1.025451173,1:09.663
9112,1071,849,3,6,17,1:09.897,,,69897,1.028895693,1:09.897
9113,1071,847,3,63,18,1:09.953,,,69953,1.029720022,1:09.953
9114,1071,854,210,47,19,1:10.329,,,70329,1.035254806,1:10.329
9115,1071,853,210,9,20,1:10.589,,,70589,1.03908205,1:10.589
9076,1070,822,131,77,1,1:16.727,1:16.864,1:15.875,75875,1,1:15.875
9077,1070,1,131,44,2,1:17.207,1:16.474,1:16.020,76020,1.001911038,1:16.020
9078,1070,830,9,33,3,1:16.788,1:16.483,1:16.225,76225,1.00461285,1:16.225
9079,1070,815,9,11,4,1:17.003,1:17.055,1:16.342,76342,1.00615486,1:16.342
9080,1070,842,213,10,5,1:16.908,1:16.955,1:16.456,76456,1.007657331,1:16.456
9081,1070,832,6,55,6,1:17.517,1:17.248,1:16.761,76761,1.0116771,1:16.761
9082,1070,817,1,3,7,1:17.719,1:17.092,1:16.763,76763,1.01170346,1:16.763
9083,1070,844,6,16,8,1:16.748,1:17.034,1:16.837,76748,1.011505766,1:16.748
9084,1070,852,213,22,9,1:17.330,1:16.701,1:17.158,76701,1.010886326,1:16.701
9085,1070,846,1,4,10,1:17.569,1:17.473,1:36.830,77473,1.021060956,1:17.473
9086,1070,20,117,5,11,1:17.502,1:17.746,,77502,1.021443163,1:17.502
9087,1070,8,51,7,12,1:17.606,1:17.958,,77606,1.022813839,1:17.606
9088,1070,847,3,63,13,1:17.958,1:18.172,,77958,1.027453048,1:17.958
9089,1070,841,51,99,14,1:17.897,1:18.290,,77897,1.026649094,1:17.897
9090,1070,839,214,31,15,1:18.126,1:18.405,,78126,1.029667216,1:18.126
9091,1070,4,214,14,16,1:18.452,,,78452,1.033963756,1:18.452
9092,1070,849,3,6,17,1:18.756,,,78756,1.037970346,1:18.756
9093,1070,854,210,47,18,1:18.858,,,78858,1.039314662,1:18.858
9094,1070,853,210,9,19,1:19.303,,,79303,1.045179572,1:19.303
9095,1070,840,117,18,20,1:20.873,,,80873,1.065871499,1:20.873
9056,1069,830,9,33,1,1:34.352,1:33.464,1:32.910,92910,1,1:32.910
9057,1069,1,131,44,2,1:34.579,1:33.797,1:33.119,93119,1.002249489,1:33.119
9058,1069,815,9,11,3,1:34.369,1:34.178,1:33.134,93134,1.002410935,1:33.134
9059,1069,822,131,77,4,1:34.590,1:33.959,1:33.475,93475,1.006081154,1:33.475
9060,1069,844,6,16,5,1:34.153,1:33.928,1:33.606,93606,1.00749112,1:33.606
9061,1069,832,6,55,6,1:34.558,1:34.126,1:33.792,93792,1.009493058,1:33.792
9062,1069,817,1,3,7,1:34.407,1:34.643,1:33.808,93808,1.009665267,1:33.808
9063,1069,846,1,4,8,1:34.551,1:33.880,1:33.887,93880,1.010440211,1:33.880
9064,1069,842,213,10,9,1:34.567,1:34.583,1:34.118,94118,1.01300183,1:34.118
9065,1069,852,213,22,10,1:35.360,1:35.137,1:34.918,94918,1.021612313,1:34.918
9066,1069,839,214,31,11,1:35.747,1:35.377,,95377,1.026552578,1:35.377
9067,1069,20,117,5,12,1:35.281,1:35.500,,95281,1.02551932,1:35.281
9068,1069,841,51,99,13,1:35.920,1:35.794,,95794,1.031040792,1:35.794
9069,1069,4,214,14,14,1:35.756,1:44.549,,95756,1.030631794,1:35.756
9070,1069,847,3,63,15,1:35.746,,,95746,1.030524163,1:35.746
9071,1069,840,117,18,16,1:35.983,,,95983,1.033075019,1:35.983
9072,1069,849,3,6,17,1:35.995,,,95995,1.033204176,1:35.995
9073,1069,8,51,7,18,1:36.311,,,96311,1.036605317,1:36.311
9074,1069,854,210,47,19,1:36.499,,,96499,1.038628781,1:36.499
9075,1069,853,210,9,20,1:36.796,,,96796,1.041825422,1:36.796
9036,1067,1,131,44,1,1:24.585,1:23.082,1:22.868,82868,1,1:22.868
9037,1067,822,131,77,2,1:25.047,1:23.579,1:22.998,82998,1.00156876,1:22.998
9038,1067,830,9,33,3,1:24.592,1:23.732,1:23.196,83196,1.003958102,1:23.196
9039,1067,844,6,16,4,1:24.869,1:24.015,1:23.265,83265,1.004790752,1:23.265
9040,1067,842,213,10,5,1:24.704,1:23.817,1:23.326,83326,1.005526862,1:23.326
9041,1067,4,214,14,6,1:25.174,1:23.914,1:23.477,83477,1.007349037,1:23.477
9042,1067,815,9,11,7,1:24.963,1:23.961,1:23.706,83706,1.010112468,1:23.706
9043,1067,846,1,4,8,1:25.138,1:24.642,1:23.954,83954,1.013105179,1:23.954
