"","circuitId","circuitRef","name","location","country","lat","lng","alt","dist.km.","dist.mile.","Turns","Date.Range","Type","url","raceId","Avg_Speed","Avg_Speed_MPH","Avg_Throttle"
"1",1,"albert_park","Albert Park Grand Prix Circuit","Melbourne","Australia",-37.8497,144.968,"10",5.303,3.296,14,"1996- 2020","Race","http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit",900,82.91,143.114220238813,68.2798536988564
"2",3,"bahrain","Bahrain International Circuit","Sakhir","Bahrain",26.0325,50.5106,"7",5.412,3.363,15,"2005-present","Race","http://en.wikipedia.org/wiki/Bahrain_International_Circuit",902,82.557,146.6477706312,63.2936061287656
"3",4,"catalunya","Circuit de Barcelona-Catalunya","Montmeló","Spain",41.57,2.26111,"109",4.655,2.892,16,"2007-present","Race","http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya",904,76.66875,135.794570799707,63.0366178186354
"4",5,"istanbul","Istanbul Park","Istanbul","Turkey",40.9517,29.405,"130",5.338,3.317,14,"2005-present","Race","http://en.wikipedia.org/wiki/Istanbul_Park",1044,101.22,117.972732661529,65.3741955817336
"5",6,"monaco","Circuit de Monaco","Monte-Carlo","Monaco",43.7347,7.42056,"7",3.337,2.074,19,"2015-present","Street","http://en.wikipedia.org/wiki/Circuit_de_Monaco",905,70.5338983050847,105.855484801153,58.6513572224912
"6",7,"villeneuve","Circuit Gilles Villeneuve","Montreal","Canada",45.5,-73.5228,"13",4.361,2.71,14,"2002-present","Race","http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve",906,70.21,138.954564876798,70.2005817943399
"7",9,"silverstone","Silverstone Circuit","Silverstone","UK",52.0786,-1.01694,"153",5.891,3.661,18,"2011-present","Race","http://en.wikipedia.org/wiki/Silverstone_Circuit",908,85.114,154.846441243509,65.370437179242
"8",10,"hockenheimring","Hockenheimring","Hockenheim","Germany",49.3278,8.56583,"103",4.574,2.842,17,"2002-present","Race","http://en.wikipedia.org/wiki/Hockenheimring",909,71.095,143.908854349814,66.7249430691729
"9",11,"hungaroring","Hungaroring","Budapest","Hungary",47.5789,19.2486,"264",4.381,2.722,14,"2003-present","Race","http://en.wikipedia.org/wiki/Hungaroring",910,75.67875,129.484168277092,61.7083018367803
"10",13,"spa","Circuit de Spa-Francorchamps","Spa","Belgium",50.4372,5.97139,"401",7.004,4.352,20,"2007-present","Race","http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps",911,106.14625,147.600127183014,66.4424816514085
"11",14,"monza","Autodromo Nazionale di Monza","Monza","Italy",45.6156,9.28111,"162",5.793,3.6,11,"2000-present","Race","http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza",912,79.67625,162.658257636372,63.5959569457118
"12",15,"marina_bay","Marina Bay Street Circuit","Marina Bay","Singapore",1.2914,103.864,"18",5.063,3.146,23,"2008-present","Street","http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit",913,96.0075,117.965783923131,55.5402333915621
"13",17,"shanghai","Shanghai International Circuit","Shanghai","China",31.3389,121.22,"5",5.451,3.388,16,"2004-present","Race","http://en.wikipedia.org/wiki/Shanghai_International_Circuit",903,93.021052631579,131.118705443024,62.8693331599784
