,raceId,year,round,circuitId,name,date,time,url,Rainfall,Air Temp,Track Temp,Wind Speed
897,900,2014,1,1,Australian Grand Prix,3/16/14,6:00:00,http://en.wikipedia.org/wiki/2014_Australian_Grand_Prix,Not Available,Not Available,Not Available,Not Available
898,901,2014,2,2,Malaysian Grand Prix,3/30/14,8:00:00,http://en.wikipedia.org/wiki/2014_Malaysian_Grand_Prix,Not Available,Not Available,Not Available,Not Available
899,902,2014,3,3,Bahrain Grand Prix,4/6/14,15:00:00,http://en.wikipedia.org/wiki/2014_Bahrain_Grand_Prix,Not Available,Not Available,Not Available,Not Available
900,903,2014,4,17,Chinese Grand Prix,4/20/14,7:00:00,http://en.wikipedia.org/wiki/2014_Chinese_Grand_Prix,Not Available,Not Available,Not Available,Not Available
901,904,2014,5,4,Spanish Grand Prix,5/11/14,12:00:00,http://en.wikipedia.org/wiki/2014_Spanish_Grand_Prix,Not Available,Not Available,Not Available,Not Available
902,905,2014,6,6,Monaco Grand Prix,5/25/14,12:00:00,http://en.wikipedia.org/wiki/2014_Monaco_Grand_Prix,Not Available,Not Available,Not Available,Not Available
903,906,2014,7,7,Canadian Grand Prix,6/8/14,18:00:00,http://en.wikipedia.org/wiki/2014_Canadian_Grand_Prix,Not Available,Not Available,Not Available,Not Available
904,907,2014,8,70,Austrian Grand Prix,6/22/14,12:00:00,http://en.wikipedia.org/wiki/2014_Austrian_Grand_Prix,Not Available,Not Available,Not Available,Not Available
905,908,2014,9,9,British Grand Prix,7/6/14,12:00:00,http://en.wikipedia.org/wiki/2014_British_Grand_Prix,Not Available,Not Available,Not Available,Not Available
906,909,2014,10,10,German Grand Prix,7/20/14,12:00:00,http://en.wikipedia.org/wiki/2014_German_Grand_Prix,Not Available,Not Available,Not Available,Not Available
907,910,2014,11,11,Hungarian Grand Prix,7/27/14,12:00:00,http://en.wikipedia.org/wiki/2014_Hungarian_Grand_Prix,Not Available,Not Available,Not Available,Not Available
908,911,2014,12,13,Belgian Grand Prix,8/24/14,12:00:00,http://en.wikipedia.org/wiki/2014_Belgian_Grand_Prix,Not Available,Not Available,Not Available,Not Available
909,912,2014,13,14,Italian Grand Prix,9/7/14,12:00:00,http://en.wikipedia.org/wiki/2014_Italian_Grand_Prix,Not Available,Not Available,Not Available,Not Available
910,913,2014,14,15,Singapore Grand Prix,9/21/14,12:00:00,http://en.wikipedia.org/wiki/2014_Singapore_Grand_Prix,Not Available,Not Available,Not Available,Not Available
911,914,2014,15,22,Japanese Grand Prix,10/5/14,6:00:00,http://en.wikipedia.org/wiki/2014_Japanese_Grand_Prix,Not Available,Not Available,Not Available,Not Available
